Название фильма,Hаименование на иностранном языке,tmdb_title,original_title,tmdb_id,year,country,genre,director,rating_tmdb,Вид Фильма,итоговая_длительность
 V Альманах художественных фильмов МЕКФ 2025 (Вся жизнь впереди; Исчезающий солдат; Эли Визель: Душа в Огне),,,,,,,,,, Художественный,280.0
 КЛЫК 2: ГОРОД ВОЛКОВ,MUZZLE: CITY OF WOLVES,Клык 2: Город волков,Muzzle: City of Wolves,1439112,2025,United States of America,"боевик, триллер, детектив",Джон Сталберг,6.638, Художественный,93.0
#Неизвестные герои,,Белгісіз батырлар,Белгісіз батырлар,1266084,2023,Kazakhstan,драма,Мерей Маханов,0.0,Документальный,64.0
(Не) искусственный интеллект,,(Не)искусственный интеллект,(Не)искусственный интеллект,1416699,2025,Russia,"приключения, комедия, семейный, фантастика",Алексей Чадов,7.5, Художественный,97.0
(Не)Бывшие,Out of Season,Out of Season,Out of Season,135126,1975,United Kingdom,"мелодрама, драма",Alan Bridges,5.538, Художественный,108.0
(Не)идеальные мужчины,Uomini da marciapiede,(Не)идеальные мужчины,Uomini da marciapiede,693342,2023,Italy,комедия,Francesco Albanese,6.1, Художественный,86.0
(Не)идеальные роботы,Robots,Роботы,Robots,9928,2005,United States of America,"мультфильм, комедия, семейный, фантастика",Крис Уэдж,6.485, Художественный,93.0
1/8 Земли: Визионеры России,,,,,,,,,,Научно-популярный,67.0
10 дней без мамы в Куршевеле,How To Survive Without Mum,10 дней без мамы в Куршевеле,10 jours encore sans maman,898994,2023,France,"комедия, семейный",Ludovic Bernard,5.337, Художественный,95.0
10 жизней,10 Lives,10 жизней,10 Lives,567811,2024,"Canada, United Kingdom, United States of America","мультфильм, комедия, семейный, фэнтези",Christopher Jenkins,7.6,Анимационный,87.0
100% тигр,The Lost Tiger,100% тигр,The Lost Tiger,1245562,2025,Australia,"приключения, мультфильм, комедия, семейный, фэнтези",Chantelle Murray,6.75,Анимационный,82.0
110,,110,110,1213773,2024,Russia,драма,Ilya Mikheev,3.7, Художественный,101.0
11:59,,11:59,11:59,28546,2005,United States of America,"детектив, триллер",Jamin Winans,5.375, Художественный,93.0
"13 ДНЕЙ, 13 НОЧЕЙ",13 JOURS 13 NUITS,"13 дней, 13 ночей","13 Jours, 13 Nuits",1254135,2025,"France, Belgium","военный, боевик, триллер",Martin Bourboulon,6.7, Художественный,111.0
13 изгнаний дьявола,13 Exorcisms,13 изгнаний дьявола,13 exorcismos,1026563,2022,Spain,"драма, ужасы",Jacobo Martínez,5.9, Художественный,104.0
13 пришествий дьявола,In The Fire,Огонь в небе,Fire in the Sky,15613,1993,United States of America,"фантастика, детектив, триллер, драма",Rob Lieberman,6.644, Художественный,87.0
13-я Клиническая. Начало (режиссерская версия),,,,,,,,,, Художественный,85.0
14+ Продолжение,,14+ Продолжение,14+ Продолжение,610338,2023,Russia,мелодрама,Андрей Зайцев,6.6, Художественный,133.0
1874: Рождение импрессионизма,"1874, The birth of impressionism","1874, la naissance de l'impressionnisme","1874, la naissance de l'impressionnisme",1264808,2024,France,"документальный, история","Julien Johan, Hugues Nancy",8.0, Художественный,95.0
1941. Крылья над Берлином,,1941. Крылья над Берлином,1941. Крылья над Берлином,895543,2022,Russia,"мелодрама, история",Konstantin Buslov,6.3, Художественный,100.0
1993,,1993,1993,1154332,2023,Russia,драма,Alexandr Veledinsky,5.0, Художественный,154.0
2+2,Doppia coppia,2+2,Doppia coppia,1193323,2023,Italy,комедия,Igor Biddau,0.0, Художественный,76.0
20/22,,20-22 OMEGA,20-22 OMEGA,562985,2018,Canada,"документальный, фантастика, документальный",Thierry Loa,0.0, Художественный,160.0
200% Волк,200% Wolf,200% Волк,200% Wolf,974663,2024,"Australia, France, Spain","мультфильм, приключения, фэнтези, семейный, боевик, комедия",Alexs Stadermann,6.537,Анимационный,94.0
2020,,엄마친구 2020,엄마친구 2020,713607,2020,South Korea,мелодрама,Kim Hwan,2.5, Художественный,108.0
2046,2046,2046,2046,844,2004,"Germany, Hong Kong, China, France, Italy","драма, фантастика, мелодрама",Вон Ка-Вай,7.2, Художественный,129.0
2050: ГОД БЕЗ МЯСА?,2050: A WORLD WITHOUT MEAT?,2050 - A World Without Meat?,2050 - A World Without Meat?,1051158,2022,,,,0.0,Научно-популярный,55.0
25 на чемоданах ,,,,,,,,,,Научно-популярный,75.0
26 Ияра. Молдавия,,,,,,,,,,Научно-популярный,65.0
28 дней ,NEGOTIATOR,Переговорщик,The Negotiator,9631,1998,"Germany, United States of America","боевик, криминал, драма, триллер",Ф. Гэри Грей,7.106, Художественный,109.0
30 ночей с бывшей,30 noches con mi ex,30 ночей с моей бывшей,30 noches con mi ex,882040,2022,Argentina,"комедия, мелодрама",Adrián Suar,5.279, Художественный,95.0
32,,Эпидемия: Вирус 32,Virus: 32,893370,2022,"Argentina, Uruguay, United States of America",ужасы,Gustavo Hernández,6.849,Научно-популярный,87.0
32 звука,32 Sounds,32 Sounds,32 Sounds,929310,2023,United States of America,документальный,Sam Green,6.0,Научно-популярный,95.0
35 страница,,35-я страница,35-я страница,1523426,2025,Russia,"драма, комедия",Филипп Ларс,10.0, Художественный,101.0
5 сантиметров в секунду,Byousoku 5 Centimeter,5 сантиметров в секунду,秒速5センチメートル,1359916,2025,Japan,"драма, мелодрама",奥山由之,7.9,Анимационный,63.0
55-ЫЙ ЭЛЕМЕНТ,"""CESIUM FALLOUT"" aka ""FAN SING""",,,,,,,,, Художественный,136.0
57 СЕКУНД,57 SECONDS,57 секунд,57 Seconds,937249,2023,"Czech Republic, United States of America","триллер, фантастика, боевик",Rusty Cundieff,6.134, Художественный,99.0
6+6=2,,6+6=2,6+6=2,1628653,2026,Russia,комедия,Александр Кисель,0.0, Художественный,93.0
"7 дней, 7 ночей",,"7 дней, 7 ночей","7 дней, 7 ночей",1214096,2024,Russia,комедия,Айк Кбеян,8.5, Художественный,98.0
70 лет России ЮНЕСКО,,,,,,,,,,Документальный,67.0
8 ДЕНЬ,,8 день,8 день,1034666,2022,,,Евгений Крылов,0.0,Документальный,105.0
8 мертвецов,8 Found Dead,8 мертвецов,8 Found Dead,1035705,2023,United States of America,"ужасы, триллер",Travis Greene,4.846, Художественный,83.0
80 ударов в минуту,,80 ударов в минуту,80 ударов в минуту,1545897,,Russia,"драма, мелодрама",Григорий Калинин,0.0, Художественный,93.0
823-й километр,,823-й километр,823-й километр,1256977,2024,Russia,драма,"Irek Khafizov, Амир Галиаскаров",0.0, Художественный,73.0
9 жизней,Nine Bullets,Девять жизней,9 Bullets,777831,2022,United States of America,"боевик, триллер",Gigi Gaston,5.257, Художественный,96.0
9 секунд,,9 секунд,9 секунд,1363141,2024,Russia,драма,Олег Штром,7.0, Художественный,91.0
90 футов от дома,90 Feet from Home,90 футов от дома,90 Feet from Home,640094,2019,United States of America,"криминал, триллер, драма",Brett Bentman,4.7, Художественный,126.0
999: Забытые девушки,999: The Forgotten Girls,999: The Forgotten Girls,999: The Forgotten Girls,1287413,2024,,документальный,"Beatriz Calleja, Heather Dune Macadam",7.5,Научно-популярный,87.0
A lumine motus / Меня приводит в движение свет,,Меня приводит в движение свет,Меня приводит в движение свет,1165146,2023,Russia,документальный,Svetlana Bychenko,0.0,Документальный,69.0
Aidan.doc (Айдан.док),,,,,,,,,,Документальный,105.0
BTOB. Будем Вместе!,"BTOB TIME: Be Together, the Movie",BTOB. Будем вместе!,비투비 타임 : 비투게더 더 무비,1135965,2023,South Korea,"музыка, документальный",Kim Jin-cheol,0.0,"Прочее (Учебный, Спектакль, …)",101.0
Best Erotic Shorts 3 (Бест Эротик Шортс 3),Best Erotic Shorts 3,,,,,,,,, Художественный,81.0
F20,,Ф20,F20,878023,2021,South Korea,"триллер, телевизионный фильм",Hong Eun-mi,3.5, Художественный,88.0
Fate/Grand Order - Священная земля Круглого стола: Камелот Paladin; Agateram,Fate/Grand Order The Movie Divine Realm of the Round Table: Camelot Paladin; Agateram,Судьба: Великий приказ. Камелот. Паладин,Fate/Grand Order -神聖円卓領域キャメロット-後編 Paladin; Agateram,637462,2021,Japan,"мультфильм, боевик, приключения, история, драма, фэнтези",Кадзуто Арай,6.225,Анимационный,96.0
