festival,year,award,film_original,film_english,tmdb_id,tmdb_title,source_url
Cannes,2023,PALME D’OR,ANATOMIE D’UNE CHUTE,ANATOMY OF A FALL,915935,Anatomy of a Fall,https://www.festival-cannes.com/en/press/press-releases/the-76th-festival-de-cannes-winners-list/
Cannes,2023,BEST SCREENPLAY,KAIBUTSU,MONSTER,1050035,Monster,https://www.festival-cannes.com/en/press/press-releases/the-76th-festival-de-cannes-winners-list/
Cannes,2023,JURY PRIZE,KUOLLEET LEHDET,FALLEN LEAVES,986280,Fallen Leaves,https://www.festival-cannes.com/en/press/press-releases/the-76th-festival-de-cannes-winners-list/
Cannes,2023,BEST PERFORMANCE BY AN ACTRESS,KURU OTLAR USTUNE,ABOUT DRY GRASSES,665733,About Dry Grasses,https://www.festival-cannes.com/en/press/press-releases/the-76th-festival-de-cannes-winners-list/
Cannes,2023,BEST DIRECTOR,LA PASSION DE DODIN BOUFFANT,THE POT-AU-FEU,56067,The Biscuit Eater,https://www.festival-cannes.com/en/press/press-releases/the-76th-festival-de-cannes-winners-list/
Cannes,2023,BEST PERFORMANCE BY AN ACTOR,PERFECT DAYS,PERFECT DAYS,976893,Perfect Days,https://www.festival-cannes.com/en/press/press-releases/the-76th-festival-de-cannes-winners-list/
Cannes,2023,GRAND PRIX,THE ZONE OF INTEREST,THE ZONE OF INTEREST,467244,The Zone of Interest,https://www.festival-cannes.com/en/press/press-releases/the-76th-festival-de-cannes-winners-list/
San Sebastián,2023,,All Dirt Roads Taste of Salt,All Dirt Roads Taste of Salt,800227,All Dirt Roads Taste of Salt,https://en.wikipedia.org/wiki/71st_San_Sebasti%C3%A1n_International_Film_Festival
San Sebastián,2023,,El sueño de la Sultana,Sultana's Dream,947643,Sultana's Dream,https://en.wikipedia.org/wiki/71st_San_Sebasti%C3%A1n_International_Film_Festival
San Sebastián,2023,,Ex-Husbands,Ex-Husbands,1105545,Ex-Husbands,https://en.wikipedia.org/wiki/71st_San_Sebasti%C3%A1n_International_Film_Festival
San Sebastián,2023,,Fingernails,Fingernails,790459,Fingernails,https://en.wikipedia.org/wiki/71st_San_Sebasti%C3%A1n_International_Film_Festival
San Sebastián,2023,,Great Absence,Great Absence,1159470,Great Absence,https://en.wikipedia.org/wiki/71st_San_Sebasti%C3%A1n_International_Film_Festival
San Sebastián,2023,,Kalak,Kalak,964318,Kalak,https://en.wikipedia.org/wiki/71st_San_Sebasti%C3%A1n_International_Film_Festival
San Sebastián,2023,,L'île rouge,Red Island,820707,Red Island,https://en.wikipedia.org/wiki/71st_San_Sebasti%C3%A1n_International_Film_Festival
San Sebastián,2023,,La práctica,The Practice,713919,The Practice,https://en.wikipedia.org/wiki/71st_San_Sebasti%C3%A1n_International_Film_Festival
San Sebastián,2023,,Le Successeur,The Successor,1072269,The Successor,https://en.wikipedia.org/wiki/71st_San_Sebasti%C3%A1n_International_Film_Festival
San Sebastián,2023,,MMXX,MMXX,985895,MMXX,https://en.wikipedia.org/wiki/71st_San_Sebasti%C3%A1n_International_Film_Festival
San Sebastián,2023,,O corno,The Rye Horn,816888,The Rye Horn,https://en.wikipedia.org/wiki/71st_San_Sebasti%C3%A1n_International_Film_Festival
San Sebastián,2023,,Puan,Puan,764442,Puan,https://en.wikipedia.org/wiki/71st_San_Sebasti%C3%A1n_International_Film_Festival
San Sebastián,2023,,The Royal Hotel,The Royal Hotel,944952,The Royal Hotel,https://en.wikipedia.org/wiki/71st_San_Sebasti%C3%A1n_International_Film_Festival
San Sebastián,2023,,Un amor,Un amor,1087571,Un amor,https://en.wikipedia.org/wiki/71st_San_Sebasti%C3%A1n_International_Film_Festival
San Sebastián,2023,,Un silence,A Silence,962319,A Silence,https://en.wikipedia.org/wiki/71st_San_Sebasti%C3%A1n_International_Film_Festival
